,Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
0,,,,,,,,,,,,
1,Afghanistan,Complex crisis in Afghanistan,AFG001,AFG,Asia,Complex crisis,Complex crisis,Yes,Individual,Total population,x,Humanitarian development
2,Afghanistan,Earthquake in Khost and Paktika,AFG005,AFG,Asia,Earthquake,Earthquake in Khost and Paktika,No,Individual,Landmass affected,Low,Change in the data/methodology
3,Angola,Drought in South-West Angola,AGO002,AGO,Africa,Food Security,Drought in South-West,Yes,Individual,People exposed,Medium,
4,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,ARM,Middle east,Conflict,Nagorno-Karabakh Conflict in Armenia,Yes,Individual,People affected,High,
5,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,AZE,Middle east,Conflict,Nagorno-Karabakh conflict in Azerbaijan,Yes,Individual,People displaced,,
6,Burundi,Complex in Burundi,BDI001,BDI,Africa,Complex crisis,Complex crisis ,Yes,Individual,Injuries reported,,
7,Burkina Faso,Conflict in Burkina Faso,BFA002,BFA,Africa,Conflict,Conflict,Yes,Individual,Illness cases reported,,
8,Bangladesh,Mutliple crises in Bangladesh,BGD001,BGD,Asia,Multiple crises country,Country Level,Yes,Aggregated,Fatalities reported,,
9,Bangladesh,Rohingya refugee crisis,BGD002,BGD,Asia,International displacement,Rohingya Refugees,No,Individual,Buildings damaged,,
10,Bangladesh,2022 Floods in Bangladesh,BGD008,BGD,Asia,Flood,2022 floods,No,Individual,Buildings destroyed,,
11,Brazil,Country level Brazil,BRA001,BRA,Americas,Multiple crises country,Country level,Yes,Aggregated,Economic Losses,,
12,Brazil,Venezuela displacement in Brazil,BRA002,BRA,Americas,International displacement,Venezuelan refugees,No,Individual,People in Need,,
13,Brazil,Floods in rainy season 2022,BRA003,BRA,Americas,Flood,Floods,No,Individual,Minimal humanitarian conditions - Level 1,,
14,CAR,Complex crisis in CAR,CAF001,CAF,Africa,Complex crisis,Complex crisis,Yes,Individual,Stressed humanitarian conditions - Level 2,,
15,Chile,Venezuela displacement in Chile,CHL002,CHL,Americas,International displacement,Venezuelan refugees,Yes,Individual,Moderate humanitarian conditions - Level 3,,
16,Cameroon,Multiple crises in Cameroon,CMR001,CMR,Africa,Multiple crises country,Country level,Yes,Aggregated,Severe humanitarian conditions - Level 4,,
17,Cameroon,Boko Haram in Cameroon,CMR002,CMR,Africa,Conflict,Boko Haram,No,Individual,Extreme humanitarian conditions - Level 5,,
18,Cameroon,Anglophone Crisis in Cameroon,CMR003,CMR,Africa,Conflict,Anglophone crisis,No,Individual,Fatalities in all crises,,
19,Cameroon,CAR refugees in Cameroon,CMR004,CMR,Africa,International displacement,CAR refugees,No,Individual,Crisis affected groups,,
20,DRC,Complex crisis in DRC,COD001,COD,Africa,Complex crisis,Complex crisis,Yes,Individual,People facing limited access constraints,,
21,Congo,Complex crisis in Congo,COG001,COG,Africa,Complex crisis,Complex crisis,Yes,Individual,People facing restricted access constraints,,
22,Colombia,Complex crisis in Colombia,COL001,COL,Americas,Complex crisis,Complex crisis,Yes,Individual,Impediments to entry into country (bureaucratic and administrative),,
23,Colombia,Venezuela displacement in Colombia,COL002,COL,Americas,International displacement,Venezuelan refugees ,No,Individual,Restriction of movement (impediments to freedom of movement and/or administrative restrictions),,
24,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,CRI,Americas,International displacement,Nicaraguan refugees,Yes,Individual,Interference into implementation of humanitarian activities,,
