,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
0,AFG001,,,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,Complex crisis,Afghanistan,Complex crisis,,,,
1,ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,Conflict,Armenia,Nagorno-Karabakh Conflict in Armenia,,,,
2,AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,Conflict,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,,,,
3,BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis ,,,,
4,BFA002,,,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,Conflict,Burkina Faso,Conflict,,,,
5,BGD002,,,Bangladesh,Rohingya refugee crisis,BGD,Asia,International displacement,Bangladesh,Rohingya Refugees,,,,
6,BRA002,,,Brazil,Venezuela displacement in Brazil,BRA,Americas,International displacement,Brazil,Venezuelan refugees,,,,
7,CAF001,,,CAR,Complex crisis in CAR,CAF,Africa,Complex crisis,CAR,Complex crisis,,,,
8,CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crises country,Cameroon,Country level,,,,
9,CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,,,,
10,CMR003,,,Cameroon,Anglophone Crisis in Cameroon,CMR,Africa,Conflict,Cameroon,Anglophone crisis,,,,
11,CMR004,,,Cameroon,CAR refugees in Cameroon,CMR,Africa,International displacement,Cameroon,CAR refugees,,,,
12,COD001,,,DRC,Complex crisis in DRC,COD,Africa,Complex crisis,DRC,Complex crisis,,,,
13,COG001,,,Congo,Complex crisis in Congo,COG,Africa,Complex crisis,Congo,Complex crisis,,,,
14,COL001,,,Colombia,Complex crisis in Colombia,COL,Americas,Complex crisis,Colombia,Complex crisis,,,,
15,COL002,,,Colombia,Venezuela displacement in Colombia,COL,Americas,International displacement,Colombia,Venezuelan refugees ,,,,
16,COL003,,,Colombia,Hurricane Eta and Iota in Colombia,COL,Americas,Tropical cyclone,Colombia,Hurricane Eta and Iota,,,,
17,CRI002,,,Costa Rica,Nicaraguan refugees in Costa Rica,CRI,Americas,International displacement,Costa Rica,Nicaraguan refugees,,,,
18,DJI001,,,Djibouti,Multiple crises in Djibouti,DJI,Africa,Multiple crises country,Djibouti,Country level,,,,
19,DJI002,,,Djibouti,Mixed migration in Djibouti,DJI,Africa,International displacement,Djibouti,Mixed Migration,,,,
20,DJI003,,,Djibouti,Drought in Djibouti,DJI,Africa,Drought,Djibouti,Drought,,,,
