,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
0,AFG001,,CC-2019-000001-AFG,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,Complex crisis,Afghanistan,Complex crisis,https://www.acaps.org/country/Afghanistan/crisis/Complex-crisis,,Before 2019,More than 2 years
1,ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,Conflict,Armenia,Conflict,https://www.acaps.org/country/Armenia/crisis/Conflict,AZE002,2020-11-04 00:00:00,147
2,AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,Conflict,Azerbaijan,Conflict,https://www.acaps.org/country/Azerbaijan/crisis/Conflict,ARM002,2020-11-04 00:00:00,147
3,REG013,,,"Armenia, Azerbaijan",Nagorno-Karabakh Conflict,"ARM, AZE",Asia,Regional crisis,,Regional conflict,https://www.acaps.org/country//crisis/Regional-conflict,,2020-10-29 00:00:00,153
4,DZA002,,ID-2019-000002-DZA,Algeria,Mixed migration flows in Algeria,DZA,Africa,International displacement,Algeria,Mixed Migration,https://www.acaps.org/country/Algeria/crisis/Mixed-Migration,,Before 2019,More than 2 years
5,DZA003,,ID-2019-000003-DZA,Algeria,Sahrawi refugees in Algeria,DZA,Africa,International displacement,Algeria,Sahrawi refugees,https://www.acaps.org/country/Algeria/crisis/Sahrawi-refugees,,Before 2019,More than 2 years
6,DZA004,,,Algeria,Multiple crises in Algeria,DZA,Africa,Multiple crisis country,Algeria,Country level,https://www.acaps.org/country/Algeria/crisis/Country-level,,2020-06-23 00:00:00,281
7,REG008,,,"Algeria, Morocco, Spain",Western Mediterranean Route,"DZA, MAR, ESP",Europe,Regional crisis,Algeria,Western Mediterranean Route,https://www.acaps.org/country/Algeria/crisis/Western-Mediterranean-Route,,Before 2019,More than 2 years
8,REG007,,,"Algeria, Tunisia, Libya, Italy",Central Mediterranean Route,"DZA, TUN, LBY, ITA",Europe,Regional crisis,Algeria,Central Mediterranean Route,https://www.acaps.org/country/Algeria/crisis/Central-Mediterranean-Route,,Before 2019,More than 2 years
9,BGD002,,ID-2019-000002-BGD,Bangladesh,Rohingya refugee crisis,BGD,Asia,International displacement,Bangladesh,Rohingya Refugees,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Refugees,MMR002,Before 2019,More than 2 years
10,REG011,,,"Bangladesh, Myanmar",Rohingya Regional Crisis,"BGD, MMR",Asia,Regional crisis,Bangladesh,Rohingya Regional Crisis,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Regional-Crisis,MMR002,Before 2019,More than 2 years
11,BRA002,,ID-2019-000002-BRA,Brazil,Venezuela displacement in Brazil,BRA,Americas,International displacement,Brazil,Venezuelan refugees,https://www.acaps.org/country/Brazil/crisis/Venezuelan-refugees,VEN001,Before 2019,More than 2 years
12,BFA002,,CO-2019-000002-BFA,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,Conflict,Burkina Faso,Conflict,https://www.acaps.org/country/Burkina Faso/crisis/Conflict,,Before 2019,More than 2 years
13,BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis,https://www.acaps.org/country/Burundi/crisis/Complex-crisis,,Before 2019,More than 2 years
14,CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crisis country,Cameroon,Country level,https://www.acaps.org/country/Cameroon/crisis/Country-level,,Before 2019,More than 2 years
15,CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,https://www.acaps.org/country/Cameroon/crisis/Boko-Haram,NGA004,Before 2019,More than 2 years
