,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,0.3,,,,
2,(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.5,5,Very High,Stable,High,4.8,4.9,4.8,4.5,5,4,4.3,4,4.5,Asia,2022-10-20 00:00:00
4,Earthquake in Khost and Paktika,Earthquake in Khost and Paktika,AFG005,Afghanistan,AFG,Earthquake,3,3,Medium,Stable,High,2.8,0.9,3.5,2.8,2.6,3,3.5,4,3,Asia,2022-10-20 00:00:00
5,Drought in South-West Angola,Drought in South-West,AGO002,Angola,AGO,Drought,3.3,4,High,Increasing,High,2.8,3.7,2.2,3.85,3.7,4,2.6,3.1,2,Africa,2022-10-04 00:00:00
6,Nagorno-Karabakh Conflict in Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",1.3,2,Low,Decreasing,Medium,1.8,1.3,2.1,0.85,0.7,1,1.5,2,1,Middle east,2022-10-27 00:00:00
7,Nagorno-Karabakh conflict in Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",1.8,2,Low,Stable,Low,2.6,1.8,3,1,0,2,2.2,2.4,2,Middle east,2022-10-27 00:00:00
8,Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.5,4,High,Stable,High,3.8,4,3.7,3.4,3.8,3,3.3,3,3.5,Africa,2022-09-21 00:00:00
9,Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",3.7,4,High,Decreasing,High,4.2,4.6,3.9,3.6,4.2,3,3.3,3.1,3.5,Africa,2022-09-12 00:00:00
