,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
1,Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,41800000,35900000,12384000,2949,x,2759,x,x,,13114,5880000,11500000,15100000,9300000,20000,5,x,x,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0
2,Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,23751,1846000,362000,x,2949,x,1039,x,x,,x,1484000,0,362000,0,0,2,,,1.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0
3,Drought in South-West Angola,Food Security,AGO002,Angola,AGO,1246700,2750000,2267000,1000,,,0,,,,,483000,683000,1167000,417000,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,4399,1626000,34000,27000,x,x,4,x,x,,x,1593000,7000,27000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,2826000,2826000,91000,x,x,5,x,x,,x,0,2826000,0,0,0,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
6,Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,13000000,13000000,626000,x,x,124,x,x,,444,0,11200000,1692000,108000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
7,Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,166445,3523000,3442000,1615000,x,x,1627,x,x,,x,81000,2000000,983000,175000,284000,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0
8,Mutliple crises in Bangladesh,Multiple crises country,BGD001,Bangladesh,BGD,41761,52961000,8678000,937000,80,4534,142,x,x,,x,44283000,3800000,3356000,1522000,0,4,x,x,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0
9,Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,730.46,1478000,1478000,937000,0,0,2,x,x,,x,0,0,1478000,0,0,3,0,0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
10,2022 Floods in Bangladesh,Flood,BGD008,Bangladesh,BGD,41031,51483000,7200000,x,80,4534,140,,,,,44283000,3800000,1878000,1522000,0,3,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11,Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,8358140,179259000,806000,953000,x,x,3249,x,x,,x,178454000,424000,382000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
