,Country,Crisis,Crisis ID,ISO3 code,Region,Drivers,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
0,,,,,,,,,,,,
1,Afghanistan,Complex crisis in Afghanistan,AFG001,AFG,Asia,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",Complex crisis,Yes,Individual,Total population,x,Humanitarian development
2,Afghanistan,Earthquake in Herat Province,AFG006,AFG,Asia,Earthquake,Earthquake in Herat Province,No,Individual,Landmass affected,Low,Change in the data/methodology
3,Angola,Drought in South-West Angola,AGO002,AGO,Africa,Drought,Drought in South-West,Yes,Individual,People exposed,Medium,
4,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,ARM,Middle east,"Conflict,Displacement",Nagorno-Karabakh Conflict in Armenia,Yes,Individual,People affected,High,
5,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,AZE,Middle east,"Conflict,Displacement",Nagorno-Karabakh conflict in Azerbaijan,Yes,Individual,People displaced,,
6,Burundi,Complex in Burundi,BDI001,BDI,Africa,"Violence,Displacement,Floods",Complex crisis ,Yes,Individual,Injuries reported,,
7,Benin,Conflict in northern region,BEN002,BEN,Africa,"Conflict,Displacement,Violence",Conflict in northern region in Benin,Yes,Individual,Illness cases reported,,
8,Burkina Faso,Conflict in Burkina Faso,BFA002,BFA,Africa,"Conflict,Displacement,Violence",Conflict,Yes,Individual,Fatalities reported,,
9,Bangladesh,Mutliple crises in Bangladesh,BGD001,BGD,Asia,"Conflict,Violence,Displacement,Floods",Country Level,Yes,Aggregated,Buildings damaged,,
10,Bangladesh,Rohingya refugee crisis,BGD002,BGD,Asia,"Conflict,Violence,Displacement",Rohingya Refugees,No,Individual,Buildings destroyed,,
11,Bangladesh,Chronic Food Security Crisis in Bangladesh,BGD012,BGD,Asia,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",Chronic Food Security Crisis in Bangladesh,No,Individual,Economic Losses,,
12,Bangladesh,Cyclone Remal,BGD013,BGD,Asia,"Cyclone,Floods",Cyclone Remal in Bangladesh,No,Individual,People in Need,,
13,Bangladesh,2024 Monsoon Floods in Bangladesh,BGD014,BGD,Asia,Floods,2024 Monsoon Floods,No,Individual,Minimal humanitarian conditions - Level 1,,
14,Bulgaria,Displacement from Russia-Ukraine conflict in Bulgaria,BGR002,BGR,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,Stressed humanitarian conditions - Level 2,,
15,Belarus,Displacement from Russia-Ukraine conflict in Belarus,BLR002,BLR,Europe,"Displacement,Conflict",Displacement from Russia-Ukraine conflict,Yes,Individual,Moderate humanitarian conditions - Level 3,,
16,Brazil,Country level Brazil,BRA001,BRA,Americas,"Displacement,Floods",Country level,Yes,Aggregated,Severe humanitarian conditions - Level 4,,
17,Brazil,Venezuela displacement in Brazil,BRA002,BRA,Americas,Displacement,Venezuelan refugees,No,Individual,Extreme humanitarian conditions - Level 5,,
18,Brazil,Drought in the Amazonas,BRA004,BRA,Americas,Drought,Drought in the Amazonas,No,Individual,Fatalities in all crises,,
19,Brazil,Floods in Rio Grande do Sul,BRA005,BRA,Americas,Floods,Floods in Rio Grande do Sul,No,Individual,Crisis affected groups,,
20,CAR,Complex crisis in CAR,CAF001,CAF,Africa,"Conflict,Displacement",Complex crisis,Yes,Individual,People facing limited access constraints,,
21,Chile,Venezuela displacement in Chile,CHL002,CHL,Americas,Displacement,Venezuelan refugees,Yes,Individual,People facing restricted access constraints,,
22,Cameroon,Multiple crises in Cameroon,CMR001,CMR,Africa,"Conflict,Displacement",Country level,Yes,Aggregated,Impediments to entry into country (bureaucratic and administrative),,
23,Cameroon,Lake Chad basin crisis in Cameroon,CMR002,CMR,Africa,Conflict,Lake Chad basin crisis,No,Individual,Restriction of movement (impediments to freedom of movement and/or administrative restrictions),,
24,Cameroon,Anglophone Crisis in Cameroon,CMR003,CMR,Africa,Conflict,Anglophone crisis,No,Individual,Interference into implementation of humanitarian activities,,
25,Cameroon,CAR refugees in Cameroon,CMR004,CMR,Africa,"Conflict,Displacement",CAR refugees,No,Individual,"Violence against personnel, facilities and assets",,
26,DRC,Complex crisis in DRC,COD001,COD,Africa,"Conflict,Displacement,Socio-political",Complex crisis,Yes,Individual,Denial of existence of humanitarian needs or entitlements to assistance,,
27,Congo,Complex crisis in Congo,COG001,COG,Africa,Conflict,Complex crisis,Yes,Individual,Restriction and obstruction of access to services and assistance,,
28,Colombia,Complex crisis in Colombia,COL001,COL,Americas,"Socio-political,Conflict,Violence,Floods,Displacement",Complex crisis,Yes,Individual,Ongoing insecurity/hostilities affecting humanitarian assistance,,
29,Colombia,Venezuela displacement in Colombia,COL002,COL,Americas,Displacement,Venezuelan refugees ,No,Individual,Presence of mines and improvised explosive devices,,
30,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,CRI,Americas,Displacement,Nicaraguan refugees,Yes,Individual,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",,
31,Czech Republic,Displacement from Russia-Ukraine conflict in Czechia,CZE002,CZE,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
32,Djibouti,Multiple crises in Djibouti,DJI001,DJI,Africa,"Displacement,Drought",Country level,Yes,Aggregated,,,
33,Djibouti,Mixed migration in Djibouti,DJI002,DJI,Africa,Displacement,Mixed Migration,No,Individual,,,
34,Djibouti,Drought in Djibouti,DJI003,DJI,Africa,Drought,Drought,No,Individual,,,
35,Dominican Republic,Venezuela displacement in Dominican Republic,DOM002,DOM,Americas,Displacement,Venezuelan refugees ,Yes,Individual,,,
36,Algeria,Mixed migration flows in Algeria,DZA002,DZA,Africa,Displacement,Mixed Migration,No,Individual,,,
37,Algeria,Sahrawi refugees in Algeria,DZA003,DZA,Africa,Displacement,Sahrawi refugees,No,Individual,,,
38,Algeria,Multiple crises in Algeria,DZA004,DZA,Africa,Displacement,Country level,Yes,Aggregated,,,
39,Ecuador,Venezuela displacement in Ecuador,ECU002,ECU,Americas,Displacement,Venezuelan refugees ,Yes,Individual,,,
40,Egypt,Refugees in Egypt,EGY004,EGY,Africa,"Displacement,Conflict",Refugees crisis,Yes,Individual,,,
41,Eritrea,Complex crisis in Eritrea,ERI001,ERI,Africa,"Socio-political,Displacement",Complex crisis,Yes,Individual,,,
42,Spain,Mixed migration flows in Spain,ESP002,ESP,Europe,Displacement,Mixed Migration,Yes,Individual,,,
43,Estonia,Displacement from Russia-Ukraine conflict in Estonia,EST002,EST,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
44,Ethiopia,Complex crisis in Ethiopia,ETH001,ETH,Africa,"Displacement,Floods,Conflict",Complex crisis,Yes,Individual,,,
45,Ethiopia,International Displacement,ETH003,ETH,Africa,Displacement,International Displacement,No,Individual,,,
46,Ethiopia,Northern Ethiopia Conflict,ETH004,ETH,Africa,"Conflict,Displacement",Northern Ethiopia Conflict,No,Individual,,,
47,Ethiopia,Drought in Ethiopia,ETH005,ETH,Africa,Drought,Drought,No,Individual,,,
48,Greece,Mixed migration flows in Greece,GRC002,GRC,Europe,Displacement,Mixed Migration,Yes,Individual,,,
49,Guatemala,Complex crisis in Guatemala,GTM001,GTM,Americas,"Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
50,Honduras,Complex crisis in Honduras,HND001,HND,Americas,"Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
51,Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,"Earthquake,Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
52,Hungary,Displacement from Russia-Ukraine conflict in Hungary,HUN002,HUN,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
53,Indonesia,Papua Conflict,IDN002,IDN,Asia,"Socio-political,Violence,Conflict",Papua Conflict,Yes,Individual,,,
54,India,2024 Monsoon Floods in India,IND006,IND,Asia,Floods,2024 Monsoon Floods,No,Individual,,,
55,Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,Displacement,Afghan Refugees,Yes,Individual,,,
56,Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,"Violence,Displacement,Socio-political,Conflict",Country level,Yes,Aggregated,,,
57,Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,"Conflict,Socio-political,Violence",Conflict,No,Individual,,,
58,Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,Displacement,Syrian Refugees,No,Individual,,,
59,Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,Displacement,Mixed Migration,Yes,Individual,,,
60,Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,Displacement,Syrian refugees,Yes,Individual,,,
61,Kenya,Multiple crisis in Kenya ,KEN001,KEN,Africa,"Drought,Displacement",Country level ,Yes,Aggregated,,,
