,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
0,AFG001,,,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,Complex crisis,Afghanistan,Complex crisis,https://www.acaps.org/country/Afghanistan/crisis/Complex-crisis,,Before 2019,More than 2 years
1,AGO002,,,Angola,Drought in South-West Angola,AGO,Africa,Food Security,Angola,Drought in South-West,https://www.acaps.org/country/Angola/crisis/Drought-in-South-West,,14/12/2021,17
2,ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,Conflict,Armenia,Nagorno-Karabakh Conflict in Armenia,https://www.acaps.org/country/Armenia/crisis/Nagorno-Karabakh-Conflict-in-Armenia,,04/11/2020,422
3,AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,Conflict,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,https://www.acaps.org/country/Azerbaijan/crisis/Nagorno-Karabakh-conflict-in-Azerbaijan,,04/11/2020,422
4,BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis ,https://www.acaps.org/country/Burundi/crisis/Complex-crisis,,Before 2019,More than 2 years
5,BFA002,,,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,Conflict,Burkina Faso,Conflict,https://www.acaps.org/country/Burkina Faso/crisis/Conflict,,Before 2019,More than 2 years
6,BGD002,,,Bangladesh,Rohingya refugee crisis,BGD,Asia,International displacement,Bangladesh,Rohingya Refugees,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Refugees,,Before 2019,More than 2 years
7,BRA002,,,Brazil,Venezuela displacement in Brazil,BRA,Americas,International displacement,Brazil,Venezuelan refugees,https://www.acaps.org/country/Brazil/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
8,CAF001,,,CAR,Complex crisis in CAR,CAF,Africa,Complex crisis,CAR,Complex crisis,https://www.acaps.org/country/CAR/crisis/Complex-crisis,,Before 2019,More than 2 years
9,CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crises country,Cameroon,Country level,https://www.acaps.org/country/Cameroon/crisis/Country-level,,Before 2019,More than 2 years
10,CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,https://www.acaps.org/country/Cameroon/crisis/Boko-Haram,,Before 2019,More than 2 years
11,CMR003,,,Cameroon,Anglophone Crisis in Cameroon,CMR,Africa,Conflict,Cameroon,Anglophone crisis,https://www.acaps.org/country/Cameroon/crisis/Anglophone-crisis,,Before 2019,More than 2 years
12,CMR004,,,Cameroon,CAR refugees in Cameroon,CMR,Africa,International displacement,Cameroon,CAR refugees,https://www.acaps.org/country/Cameroon/crisis/CAR-refugees,,Before 2019,More than 2 years
13,COD001,,,DRC,Complex crisis in DRC,COD,Africa,Complex crisis,DRC,Complex crisis,https://www.acaps.org/country/DRC/crisis/Complex-crisis,,Before 2019,More than 2 years
14,COG001,,,Congo,Complex crisis in Congo,COG,Africa,Complex crisis,Congo,Complex crisis,https://www.acaps.org/country/Congo/crisis/Complex-crisis,,01/12/2019,761
15,COL001,,,Colombia,Complex crisis in Colombia,COL,Americas,Complex crisis,Colombia,Complex crisis,https://www.acaps.org/country/Colombia/crisis/Complex-crisis,,Before 2019,More than 2 years
