,Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
0,,,,,,,,,,,,
1,Afghanistan,Complex crisis in Afghanistan,AFG001,AFG,Asia,Complex crisis,Complex crisis,Yes,Individual,Total population,x,Humanitarian development
2,Angola,Drought in South-West Angola,AGO002,AGO,Africa,Food Security,Drought in South-West,Yes,Individual,Landmass affected,Low,Change in the data/methodology
3,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,ARM,Middle east,Conflict,Nagorno-Karabakh Conflict in Armenia,Yes,Individual,People exposed,Medium,
4,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,AZE,Middle east,Conflict,Nagorno-Karabakh conflict in Azerbaijan,Yes,Individual,People affected,High,
5,Burundi,Complex in Burundi,BDI001,BDI,Africa,Complex crisis,Complex crisis ,Yes,Individual,People displaced,,
6,Burkina Faso,Conflict in Burkina Faso,BFA002,BFA,Africa,Conflict,Conflict,Yes,Individual,Injuries reported,,
7,Bangladesh,Rohingya refugee crisis,BGD002,BGD,Asia,International displacement,Rohingya Refugees,Yes,Individual,Illness cases reported,,
8,Brazil,Venezuela displacement in Brazil,BRA002,BRA,Americas,International displacement,Venezuelan refugees,Yes,Individual,Fatalities reported,,
9,CAR,Complex crisis in CAR,CAF001,CAF,Africa,Complex crisis,Complex crisis,Yes,Individual,Buildings damaged,,
10,Cameroon,Multiple crises in Cameroon,CMR001,CMR,Africa,Multiple crises country,Country level,Yes,Aggregated,Buildings destroyed,,
11,Cameroon,Boko Haram in Cameroon,CMR002,CMR,Africa,Conflict,Boko Haram,No,Individual,Economic Losses,,
12,Cameroon,Anglophone Crisis in Cameroon,CMR003,CMR,Africa,Conflict,Anglophone crisis,No,Individual,People in Need,,
13,Cameroon,CAR refugees in Cameroon,CMR004,CMR,Africa,International displacement,CAR refugees,No,Individual,Minimal humanitarian conditions - Level 1,,
14,DRC,Complex crisis in DRC,COD001,COD,Africa,Complex crisis,Complex crisis,Yes,Individual,Stressed humanitarian conditions - Level 2,,
15,Congo,Complex crisis in Congo,COG001,COG,Africa,Complex crisis,Complex crisis,Yes,Individual,Moderate humanitarian conditions - Level 3,,
16,Colombia,Complex crisis in Colombia,COL001,COL,Americas,Complex crisis,Complex crisis,Yes,Individual,Severe humanitarian conditions - Level 4,,
17,Colombia,Venezuela displacement in Colombia,COL002,COL,Americas,International displacement,Venezuelan refugees ,No,Individual,Extreme humanitarian conditions - Level 5,,
18,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,CRI,Americas,International displacement,Nicaraguan refugees,Yes,Individual,Fatalities in all crises,,
19,Djibouti,Multiple crises in Djibouti,DJI001,DJI,Africa,Multiple crises country,Country level,Yes,Aggregated,Crisis affected groups,,
20,Djibouti,Mixed migration in Djibouti,DJI002,DJI,Africa,International displacement,Mixed Migration,No,Individual,People facing limited access constraints,,
21,Djibouti,Drought in Djibouti,DJI003,DJI,Africa,Drought,Drought,No,Individual,People facing restricted access constraints,,
22,Algeria,Mixed migration flows in Algeria,DZA002,DZA,Africa,International displacement,Mixed Migration,No,Individual,Impediments to entry into country (bureaucratic and administrative),,
23,Algeria,Sahrawi refugees in Algeria,DZA003,DZA,Africa,International displacement,Sahrawi refugees,No,Individual,Restriction of movement (impediments to freedom of movement and/or administrative restrictions),,
24,Algeria,Multiple crises in Algeria,DZA004,DZA,Africa,Multiple crises country,Country level,Yes,Aggregated,Interference into implementation of humanitarian activities,,
